원래 문장,난독화된 문장
"해외여행 중 방문했던 숙박 시설이나 음식점 후기를 남길 때, 혹은 해외 체류 중 외국인 친구 모르게 글을 쓰고 싶을 때 유용한 방법이 있다.","헤웨어행 충 방뮨했뎐 슉팍 싯썰윈낱 음식쩜 휵귈를 냠낄 탰, 혹은 헤왜 첼룩 쭝 왝국윈 찐규 몲룰궤 긁룰 쑥곱 십욺 떼 우옹한 빵펍익 있탸."
"해외여행 중 방문했던 숙박 시설이나 음식점 후기를 남길 때, 혹은 해외 체류 중 외국인 친구 모르게 글을 쓰고 싶을 때 유용한 방법이 있다.","헤웨얻헹 충 팡뮨했떤 슉팍 쉬섦익냐 음씩젊 훅귀룰 낢긺 태, 혹운 헷욉 쩨루 중 웩꾹윈 췬국 몲루궤 크를 슥교 쉬플 땜 윷용한 팡볍입 잊타."
"해외여행 중 방문했던 숙박 시설이나 음식점 후기를 남길 때, 혹은 해외 체류 중 외국인 친구 모르게 글을 쓰고 싶을 때 유용한 방법이 있다.","헤웨옇행 쭝 빵문했뎐 쑥팍 씨셜인냘 움쉭쩜 휵귄를 냠낄 떼, 혹큰 행왜 췌루 중 왼국낀 찐큐 몲룩계 글울 스곪 싶욺 떼 윰옹한 방볍일 잊닥."
리그오브레전드 멜 개사기 너프해주세요.,뤽급옰붊렝전뜨 멜 게삿귀 넙푸햄줏쎄욕.
리그오브레전드 멜 개사기 너프해주세요.,륏끄옷붊레천두 멜 캐삯키 녑푸핵줏쎄요.
리그오브레전드 멜 개사기 너프해주세요.,뤼크욥불렛젼둡 멜 걔싹퀴 녑쁘햄츄셉욘.
동해물과 백두산이 마르고 닳도록 하느님이 보우하사 우리나라 만세.,똥헨묾꽈 벡둣샨위 먈륵꾜 닳똘록 항늚닒믿 포유햐삿 운린냐랴 만쉐.
동해물과 백두산이 마르고 닳도록 하느님이 보우하사 우리나라 만세.,똥헴묽콰 펙듀샨닛 말룩교 닯똘록 햐늘닐밌 폿웁핫싸 율링낳랒 만쉐.
동해물과 백두산이 마르고 닳도록 하느님이 보우하사 우리나라 만세.,통해묽괄 벡투싸닝 맒룬교 닯또록 햐눈닒뮈 봇움항삿 욺립낢랴 많섹.
절대 이기복 교수님의 통계적 머신러닝을 들어야만 합니다.,철때 인귑뽁 곳슝뉨읫 통켸쩍 멈씬려닝읊 들여암많 합뉘다.
절대 이기복 교수님의 통계적 머신러닝을 들어야만 합니다.,졀데 임낍폭 콕슈뉨위 통켸쩍 몃씬럼닝울 등려암많 합뉘댜.
절대 이기복 교수님의 통계적 머신러닝을 들어야만 합니다.,쩔테 익낍복 꾜쑤닒윈 똥곌적 몇씬려닝읊 틀려앎많 합뉘댜.
통닭 먹고 싶다.,똥닳 멱꼬 싶댜.
통닭 먹고 싶다.,똥닮 멱꼬 싶타.
통닭 먹고 싶다.,똥탉 먹곬 십댜.
